acquisition_time,elapsed_time_seconds
081920.198,0.0
081920.813,0.6149999999979627
081921.433,1.235000000000582
081922.050,1.8519999999989523
081922.670,2.4719999999979336
081923.300,3.1019999999989523
081923.928,3.7299999999995634
081924.558,4.360000000000582
081925.190,4.99199999999837
081925.828,5.630000000001019
081926.468,6.270000000000437
081927.103,6.904999999998836
081927.743,7.544999999998254
081928.378,8.180000000000291
081929.013,8.81499999999869
081929.655,9.456999999998516
081930.295,10.096999999997934
081930.935,10.73700000000099
081931.570,11.371999999999389
081932.208,12.0099999999984
081932.845,12.647000000000844
081933.483,13.284999999999854
081934.115,13.91700000000128
081934.745,14.546999999998661
081935.373,15.174999999999272
081935.998,15.799999999999272
081936.625,16.42699999999968
081937.250,17.05199999999968
081937.878,17.68000000000029
081938.503,18.30500000000029
081939.125,18.92699999999968
081939.748,19.549999999999272
081940.365,20.16700000000128
081940.990,20.79200000000128
081941.613,21.415000000000873
081942.235,22.037000000000262
081942.855,22.656999999999243
081943.478,23.279999999998836
081944.100,23.901999999998225
081944.723,24.525000000001455
081945.348,25.150000000001455
081945.970,25.772000000000844
081946.590,26.391999999999825
081947.215,27.016999999999825
081947.835,27.636999999998807
081948.460,28.261999999998807
081949.080,28.882000000001426
081949.703,29.50500000000102
081950.325,30.127000000000407
081950.943,30.74499999999898
081951.565,31.36699999999837
081952.185,31.98700000000099
081952.803,32.60499999999956
081953.428,33.22999999999956
081954.045,33.846999999997934
081954.668,34.470000000001164
081955.285,35.086999999999534
081955.908,35.70999999999913
